,elevation,longitude,latitude
23248,406.4719012,-122.473469,37.7441719
23249,155.1315402,-122.475904,37.781389
23250,155.8591237,-122.4763863,37.7795176
23251,414.5569321,-122.4745129,37.745335
23252,285.9856354,-122.4750403,37.7378294
23253,336.9429839,-122.4768809,37.7563609
23254,195.2455363,-122.4777367,37.7749599
23255,230.7434106,-122.4747418,37.7339844
23256,281.9339212,-122.4771629,37.7605328
23257,117.8442249,-122.4242288,37.7581316
23258,286.0690631,-122.4774835,37.7415534
23259,363.7277164,-122.4397201,37.7554127
23260,427.049215,-122.4789759,37.7469472
23261,180.9165166,-122.4795176,37.733146
23262,136.727002,-122.4259626,37.7531693
23263,428.6470826,-122.4816401,37.7477175
23264,175.8255977,-122.480402,37.7333575
23265,356.6341064,-122.482027,37.7529673
23266,163.2738416,-122.426874,37.750315
23267,177.1542839,-122.4819499,37.7377574
23268,130.9839676,-122.485487,37.7866085
23269,167.4564921,-122.4855717,37.7732904
23270,190.6511288,-122.430441,37.74854
23271,163.7519679,-122.428488,37.7481719
23272,137.3657261,-122.4267396,37.7486747
23273,191.5143793,-122.4301019,37.7481434
23274,148.5418007,-122.4277682,37.7453888
23275,512.7898453,-122.4370989,37.7445307
23276,154.2280777,-122.4880383,37.7847368
23277,344.6761815,-122.4871436,37.7503214
23278,232.6069053,-122.4884163,37.7600229
23279,187.9233823,-122.4915888,37.7827925
23280,165.4326124,-122.4924399,37.7645503
23281,197.3335575,-122.4919308,37.7476765
23282,125.3003438,-122.49517,37.7724244
23283,80.38576138,-122.501017,37.7487318
23284,51.95769279,-122.5033491,37.7507014
23285,203.4273863,-122.5084772,37.7774341
23286,279.4350441,-122.4050368,37.7184337
23287,19.4591994,-122.4387617,37.8022913
23288,90.04919836,-122.4159109,37.7332808
23289,321.8673949,-122.445242,37.7806634
23290,372.6562359,-122.4268061,37.7241622
23291,241.4224356,-122.4700653,37.7085109
23292,243.2894096,-122.4699547,37.7085077
23293,441.7598796,-122.463544,37.708174
23294,425.2006887,-122.4642674,37.708271
23295,50.42497103,-122.4228573,37.7620903
23296,149.410996,-122.4439103,37.7958655
23297,108.864167,-122.4102915,37.73944
23298,166.92291,-122.403654,37.7218856
23299,49.94047755,-122.4323249,37.7991314
23300,343.4710975,-122.4380095,37.7691742
23301,385.9302814,-122.4441251,37.7683065
23302,179.5381819,-122.489406,37.774352
23303,150.6048286,-122.4874325,37.7839625
23304,98.29750526,-122.4539128,37.6727613
23305,674.8832959,-122.4595285,37.737627
23306,254.6690724,-122.4267064,37.7384164
23307,269.3469717,-122.4371469,37.7328593
23308,214.0339847,-122.4257331,37.7351777
23309,130.0037356,-122.4232112,37.7324521
23310,169.9708633,-122.4235209,37.7338467
23311,541.2190027,-122.4435058,37.7529183
23312,444.7119647,-122.4442193,37.7576832
23313,448.10264,-122.444174,37.7576248
23314,444.7119647,-122.4442193,37.7576832
23315,448.10264,-122.444174,37.7576248
23316,505.5383659,-122.4425063,37.7554586
23317,497.1314637,-122.4422672,37.754435
23318,167.4519865,-122.43346,37.72768
23319,722.315103,-122.467644,37.7495541
23320,667.3125733,-122.4522974,37.7355965
23321,167.584725,-122.4288189,37.7338657
23322,131.6243812,-122.4005121,37.7511969
23323,163.7406039,-122.400988,37.755145
23324,237.7598005,-122.4010431,37.7564335
23325,267.7190671,-122.4663323,37.7219773
23326,218.1686762,-122.443662,37.716011
23327,534.6066103,-122.447133,37.7412097
23328,585.720101,-122.4528942,37.7492749
23329,430.6308253,-122.4368372,37.7383171
23330,462.9288469,-122.4359967,37.7394694
23331,430.6308253,-122.4368372,37.7383171
23332,441.4473948,-122.4363438,37.7387834
23333,363.8566251,-122.4399338,37.738221
23334,436.9308832,-122.436616,37.7385341
23335,461.3211171,-122.4358751,37.7395161
23336,363.8566251,-122.4399338,37.738221
23337,121.1065421,-122.4248186,37.7433967
23338,90.66359242,-122.4269774,37.767375
23339,158.5858814,-122.4260981,37.7575289
23340,208.8169105,-122.425468,37.751143
23341,90.66359242,-122.4269774,37.767375
23342,208.8169105,-122.425468,37.751143
23343,121.211171,-122.424744,37.743309
23344,462.98016,-122.4677546,37.7448109
23345,404.2574243,-122.4628898,37.7405014
23346,164.0894835,-122.4286088,37.7462262
23347,532.948068,-122.4384611,37.7455734
23348,534.5460858,-122.4385397,37.7455824
23349,652.9668081,-122.4600978,37.7427053
23350,105.8305063,-122.4860987,37.7877554
23351,105.3949575,-122.4860323,37.7877572
23352,121.0286963,-122.487112,37.7873445
23353,120.5131489,-122.4870346,37.7873589
23354,95.05841041,-122.4849567,37.7878688
23355,120.1201149,-122.4869018,37.7873627
23356,131.1231765,-122.4888032,37.7874832
23357,102.3113416,-122.4858223,37.7878313
23358,120.5131489,-122.4870346,37.7873589
23359,118.4226372,-122.4865297,37.7873869
23360,129.0724638,-122.4878746,37.787286
23361,161.1725291,-122.4912793,37.7859012
23362,136.6285934,-122.4903059,37.7866846
23363,116.2684971,-122.4878088,37.7878458
23364,118.1781987,-122.4881401,37.7878736
23365,146.4840418,-122.4912348,37.786398
23366,141.7538045,-122.4893493,37.787174
23367,147.4399439,-122.4893337,37.7870594
23368,119.8938613,-122.4888472,37.787916
23369,137.8141908,-122.4904833,37.7865932
23370,627.4116897,-122.4449667,37.7388505
23371,628.4701431,-122.4451425,37.7388434
23372,613.0278776,-122.444429,37.738916
23373,627.4116897,-122.4449667,37.7388505
23374,620.9961397,-122.4458109,37.739138
23375,613.0278776,-122.444429,37.738916
23376,621.3507764,-122.4458778,37.7391657
23377,509.1014034,-122.4610765,37.7312673
23378,115.6896468,-122.4150149,37.7358933
23379,412.9092531,-122.4294272,37.7387528
23380,98.05001926,-81.5157535,27.6648274
23381,227.3900813,-122.413422,37.7407405
23382,668.2241959,-122.4547629,37.756266
23383,142.1251368,-122.4080901,37.7420066
23384,154.1912949,-122.4078383,37.7463462
23385,165.2865075,-122.432511,37.777294
23386,698.5955449,-122.469898,37.751847
23387,291.0789823,-122.5024649,37.7798471
23388,251.9494986,-122.435141,37.71343
23389,253.207723,-122.4349109,37.7133683
23390,257.3659684,-122.4345811,37.7132
23391,169.6677775,-122.4445343,37.7193765
23392,258.3381155,-122.4489793,37.721412
23393,56.27778752,-122.4216376,37.7595618
23394,168.3885022,-122.4442594,37.7190676
23395,170.8981301,-122.444678,37.7194533
23396,168.407363,-122.444302,37.7191593
23397,253.207723,-122.4349109,37.7133683
23398,271.3771967,-122.4495328,37.7216374
23399,39.71665364,-122.3916612,37.7200171
23400,51.81968534,-122.428092,37.8013134
23401,270.7210387,-122.4258216,37.7893933
23402,174.6678721,-122.4215576,37.7887043
23403,95.68490062,-122.4220609,37.7466969
23404,118.9767821,-122.422594,37.752343
23405,109.3135954,-122.423221,37.7577295
23406,71.10388175,-122.4234356,37.7592185
23407,99.22993469,-122.4232997,37.758045
23408,250.2460259,-122.4031561,37.7174838
23409,262.4056742,-122.4628456,37.7230517
23410,242.7843627,-122.4448881,37.7308503
23411,122.912566,-122.4052528,37.7476835
23412,32.75286912,-122.4075135,37.7839954
23413,361.5487082,-122.4398688,37.7497604
23414,530.7270831,-122.4581132,37.744392
23415,532.5858219,-122.4577152,37.7443284
23416,471.2150504,-122.4249758,37.7231254
23417,472.0767615,-122.4249315,37.7231762
23418,30.07276887,-122.3917386,37.7207851
23419,77.13841888,-122.5033239,37.7625843
23420,318.6133129,-122.4441134,37.791503
23421,350.862249,-122.4464363,37.7911987
23422,285.2677264,-122.4287858,37.7934308
23423,310.6458518,-122.438648,37.7326059
23424,586.6424368,-122.452872,37.7435297
23425,298.5152643,-122.447321,37.7280907
23426,256.9422716,-122.4723096,37.7326858
23427,30.88002229,-122.3973148,37.7265427
23428,62.01495847,-122.4036932,37.7641506
23429,440.9875285,-122.4238375,37.7246275
23430,25.35258616,-122.5087076,37.7568124
23431,765.7389748,-122.4551941,37.736206
23432,216.6126601,-122.385352,37.73314
23433,209.6249305,-122.3857278,37.7331458
23434,218.3758563,-122.385389,37.733191
23435,189.4053948,-122.3948918,37.7180191
23436,210.0270256,-122.394748,37.7178863
23437,219.2958391,-122.39508,37.7177135
23438,179.5785065,-122.3950937,37.7180625
23439,541.5140661,-122.4505057,37.7356383
23440,496.054087,-122.4496077,37.7359985
23441,563.7458421,-122.4508042,37.7350158
23442,558.5143501,-122.4507379,37.7357996
23443,491.6843061,-122.447708,37.7358383
23444,477.8770039,-122.4475557,37.7350954
23445,592.2880888,-122.4545196,37.734617
23446,566.2931789,-122.4508706,37.7352374
23447,544.4796679,-122.4540442,37.733879
23448,567.5392132,-122.4519839,37.734603
23449,539.9300155,-122.450466,37.734718
23450,580.3095886,-122.4542211,37.7343831
23451,539.3113537,-122.4525403,37.7343419
23452,526.8342394,-122.4503037,37.7356531
23453,541.5140661,-122.4505057,37.7356383
23454,551.2264258,-122.4506089,37.7346113
23455,570.1926807,-122.4508706,37.7348092
23456,512.4624922,-122.4501247,37.7359875
23457,480.1519052,-122.4477325,37.7354212
23458,542.0522788,-122.4506052,37.7344813
23459,457.9937198,-122.4479705,37.7352865
23460,545.5535903,-122.4505443,37.7353048
23461,561.6769945,-122.4507821,37.7357301
23462,565.0027398,-122.4533254,37.7343329
23463,541.5140661,-122.4505057,37.7356383
23464,558.5143501,-122.4507379,37.7357996
23465,563.1562661,-122.4520706,37.7346029
23466,591.0310409,-122.4559018,37.7347222
23467,497.1242548,-122.4472019,37.7351298
23468,555.3595152,-122.4523192,37.7345961
23469,559.0333892,-122.4525845,37.7345889
23470,566.8322927,-122.4535134,37.7342285
23471,491.0679471,-122.4494386,37.736018
23472,541.9380381,-122.4537788,37.733849
23473,599.7598895,-122.4570075,37.7351265
23474,468.868561,-122.4474337,37.7348467
23475,496.054087,-122.4496077,37.7359985
23476,542.2070694,-122.4504946,37.7348132
23477,542.3507964,-122.4504937,37.7350997
23478,592.2880888,-122.4545196,37.734617
23479,550.7144954,-122.454199,37.7339617
23480,523.0172893,-122.4502996,37.7359723
23481,570.3777085,-122.4509148,37.7353914
23482,596.4337437,-122.4571402,37.7350856
23483,561.4311418,-122.4571402,37.7346761
23484,538.5083148,-122.4526288,37.7343146
23485,567.5392132,-122.4519839,37.734603
23486,553.7986432,-122.4522307,37.7345861
23487,499.756396,-122.4462041,37.7345882
23488,547.25869,-122.4511959,37.7342818
23489,544.4796679,-122.4540442,37.733879
23490,482.8282008,-122.4495107,37.735743
23491,559.0333892,-122.4525845,37.7345889
23492,560.0599033,-122.4531485,37.7343874
23493,564.6753367,-122.4534139,37.7342685
23494,585.5800786,-122.4566095,37.7348767
23495,563.1562661,-122.4520706,37.7346029
23496,462.1400756,-122.4479845,37.7355578
23497,616.6197506,-122.4565652,37.7351882
23498,624.4305688,-122.4562556,37.7351718
23499,470.2517142,-122.4493002,37.7357196
23500,465.5265957,-122.4492141,37.7357227
23501,475.25082,-122.4493901,37.7357179
23502,632.3759527,-122.455966,37.7351371
23503,550.7144954,-122.454199,37.7339617
23504,541.9380381,-122.4537788,37.733849
23505,246.197791,-122.4436606,37.7776239
23506,11.2365843,-122.4480637,37.8045084
23507,11.62892758,-122.4477709,37.8045265
23508,387.4727308,-122.4226361,37.7255147
23509,247.5339864,-122.4312742,37.7240229
23510,457.0354398,-122.4539999,37.7328127
23511,559.8084436,-122.446783,37.740543
23512,571.5278748,-122.4455074,37.737735
23513,579.261498,-122.443915,37.7390442
23514,559.1262035,-122.44758,37.740804
23515,573.3677905,-122.4447648,37.7394909
23516,584.9760848,-122.4464363,37.7403163
23517,558.7257604,-122.44751,37.740763
23518,559.4797389,-122.447087,37.740612
23519,572.41722,-122.4470825,37.740483
23520,569.5142953,-122.447987,37.741083
23521,570.592473,-122.4461267,37.7404488
23522,571.7617628,-122.449759,37.742401
23523,570.592473,-122.4461267,37.7404488
23524,545.2222323,-122.4438212,37.7393313
23525,584.7830972,-122.4458841,37.7376267
23526,575.4590156,-122.4456401,37.7376942
23527,571.0908867,-122.448048,37.741141
23528,217.522155,-122.407891,37.7448052
23529,384.1963463,-122.4555037,37.7155914
23530,283.4146195,-122.4579363,37.7254195
23531,363.0139625,-122.4579363,37.7289572
23532,388.9291492,-122.4578921,37.7298645
23533,346.7013753,-122.4579806,37.7283106
23534,388.9291492,-122.4578921,37.7298645
23535,368.9757287,-122.4579363,37.7291806
23536,300.0617436,-122.4578921,37.7263269
23537,272.8381707,-122.4584671,37.7249582
23538,300.0617436,-122.4578921,37.7263269
23539,333.5497054,-122.4578921,37.7277792
23540,262.9399571,-122.4922232,37.7552198
23541,305.0233283,-122.4805457,37.75575
23542,233.3084692,-122.4474868,37.7178628
23543,603.6984394,-122.4714785,37.7555225
23544,599.2756933,-122.471602,37.7555747
23545,455.9704784,-122.4735036,37.7542072
23546,599.2756933,-122.471602,37.7555747
23547,600.2997543,-122.4606342,37.7567567
23548,645.1327112,-122.4570075,37.7547094
23549,649.2422217,-122.4584726,37.7540148
23550,639.0590822,-122.4581132,37.7539967
23551,647.5635546,-122.4568748,37.7548619
23552,611.4068315,-122.4605458,37.7560395
23553,624.3961764,-122.4606453,37.7556645
23554,618.0971699,-122.4554595,37.7551116
23555,643.7578683,-122.45672,37.754914
23556,645.4446954,-122.4569191,37.7547739
23557,649.2422217,-122.4584726,37.7540148
23558,640.7920161,-122.4586882,37.7539313
23559,593.5669636,-122.46059,37.7566587
23560,645.953522,-122.4566095,37.755167
23561,614.3829963,-122.4606232,37.7558575
23562,652.9440801,-122.4606785,37.7548075
23563,615.5145397,-122.4606785,37.7557753
23564,637.4063971,-122.4573171,37.7543163
23565,608.1764035,-122.4605458,37.7561139
23566,659.9294819,-122.4602066,37.7544181
23567,679.7498885,-122.4602804,37.7569029
23568,624.3961764,-122.4606453,37.7556645
23569,636.9688083,-122.4577152,37.754082
23570,645.4446954,-122.4569191,37.7547739
23571,640.7394514,-122.4585555,37.753935
23572,144.2001669,-122.3865955,37.7322776
23573,316.1086787,-122.4407156,37.7638704
23574,310.7714815,-122.4406297,37.7638265
23575,288.1682981,-122.4397175,37.763587
23576,288.4947501,-122.4398829,37.763604
23577,632.8428776,-122.4697447,37.7548069
23578,611.5383935,-122.468429,37.754049
23579,624.1171829,-122.4686943,37.7545442
23580,610.8657151,-122.4684622,37.7541597
23581,619.4453801,-122.4689044,37.7546563
23582,704.1350663,-122.4691255,37.7526526
23583,110.0921916,-122.394156,37.735589
23584,636.8902115,-122.4504615,37.7467103
23585,213.2086684,-122.4328116,37.7248445
23586,26.73785916,-122.3941284,37.7809444
23587,123.0128646,-122.4055015,37.7479043
23588,92.0140804,-122.4058223,37.7481502
23589,92.0140804,-122.4058223,37.7481502
23590,219.9841617,-122.4337455,37.7221983
23591,238.9392779,-122.4284945,37.7888742
23592,577.107896,-122.4437823,37.7498083
23593,558.0664986,-122.4440809,37.7503214
23594,353.9915273,-122.4667587,37.738432
23595,392.4560672,-122.465278,37.7393564
23596,401.0726026,-122.4647915,37.7395807
23597,397.5562225,-122.464998,37.739496
23598,424.9045741,-122.4636859,37.7398095
23599,353.9915273,-122.4667587,37.738432
23600,385.5307395,-122.4655433,37.7392747
23601,559.4987122,-122.4441361,37.7503696
23602,392.4560672,-122.465278,37.7393564
23603,71.92209554,-122.4073268,37.760051
23604,39.70686659,-122.5045869,37.7475657
23605,612.2325482,-122.4459726,37.7382978
23606,620.0746049,-122.4453087,37.7385176
23607,612.2325482,-122.4459726,37.7382978
23608,614.2895813,-122.4456197,37.7384145
23609,616.2143013,-122.4453512,37.7384594
23610,281.313332,-122.4296263,37.7113708
23611,280.0107029,-122.428455,37.7108689
23612,215.3868506,-122.4354146,37.7205709
23613,326.1401814,-122.413696,37.792572
23614,112.4544255,-122.4046164,37.7575792
23615,71.32401532,-122.4041407,37.7537688
23616,75.83513277,-122.404185,37.7542393
