,gsId,name,type,enrollment,gsRating,parentRating,district,address,lat,lon,geometry,index_right
61,8097,Ecole Notre Dame Des Victoires,private,300.0,5.396694214876033,4.0,,"659 Pine Street, 
San Francisco, CA  94108",37.79124,-122.40667,POINT (-122.40667 37.79124),San Francisco
62,8806,Edgewood Center For Children & Families,private,44.0,5.396694214876033,4.183673469387755,,"1801 Vicente Street, 
San Francisco, CA  94116",37.737984,-122.48626,POINT (-122.48626 37.737984),San Francisco
63,12048,Edison Charter Academy,charter,700.0,5.0,4.0,San Francisco Unified School District,"3531 22nd Street, 
San Francisco, CA  94114",37.754936,-122.4262,POINT (-122.4262 37.754936),San Francisco
65,6362,El Dorado Elementary School,public,236.0,1.0,5.0,San Francisco Unified School District,"70 Delta Street, 
San Francisco, CA  94134",37.719265,-122.40673,POINT (-122.40673 37.719265),San Francisco
66,8098,Epiphany Elementary School,private,400.0,5.396694214876033,3.0,,"600 Italy Avenue, 
San Francisco, CA  94112",37.71587,-122.43469,POINT (-122.43469 37.71587),San Francisco
67,9436,Erikson School,private,379.1877551020408,5.396694214876033,5.0,,"1325 Evans Avenue, 
San Francisco, CA  94124",37.77556,-122.484276,POINT (-122.484276 37.77556),San Francisco
68,13372,Eureka Learning Center,private,379.1877551020408,5.396694214876033,5.0,,"464 Diamond Street, 
San Francisco, CA  94114",37.754986,-122.43685,POINT (-122.43685 37.754986),San Francisco
69,6363,Everett Middle School,public,533.0,4.0,3.0,San Francisco Unified School District,"450 Church Street, 
San Francisco, CA  94114",37.763668,-122.42858,POINT (-122.42858 37.763668),San Francisco
70,22355,Everyday Magic,private,379.1877551020408,5.396694214876033,5.0,,"Po Box 320026, 
San Francisco, CA  94132",37.71814,-122.48635,POINT (-122.48635 37.71814),San Francisco
71,6364,Fairmount Elementary School,public,380.0,2.0,4.0,San Francisco Unified School District,"65 Chenery Street, 
San Francisco, CA  94131",37.740658,-122.42559,POINT (-122.42559 37.740658),San Francisco
72,16863,Feinstein (Dianne) Elementary School,public,512.0,7.0,4.0,San Francisco Unified School District,"2550 25th Avenue, 
San Francisco, CA  94116",37.739964,-122.48185,POINT (-122.48185 37.739964),San Francisco
73,24793,Five Keys Adult School (Sf Sheriff's),charter,163.0,5.396694214876033,5.0,San Francisco Unified School District,"70 Oak Grove, 
San Francisco, CA  94107",37.77716,-122.40215,POINT (-122.40215 37.77716),San Francisco
74,24794,Five Keys Independence High School (Sf Sheriff's),charter,1925.0,5.396694214876033,4.183673469387755,San Francisco Unified School District,"70 Oak Grove, 
San Francisco, CA  94107",37.77717,-122.40214,POINT (-122.40214 37.77717),San Francisco
75,6366,Flynn (Leonard R.) Elementary School,public,437.0,2.0,4.0,San Francisco Unified School District,"3125 Cesar Chavez Street, 
San Francisco, CA  94110",37.74819,-122.41203,POINT (-122.41203 37.74819),San Francisco
76,6367,Francisco Middle School,public,572.0,7.0,4.0,San Francisco Unified School District,"2190 Powell Street, 
San Francisco, CA  94133",37.804817,-122.41168,POINT (-122.41168 37.804817),San Francisco
77,9121,French American International School,private,379.1877551020408,5.396694214876033,4.0,,"150 Oak Street, 
San Francisco, CA  94102",37.77534,-122.42175,POINT (-122.42175 37.77534),San Francisco
78,26290,Fusion Academy San Francisco,private,55.0,5.396694214876033,3.0,,"1160 Battery Street, 
San Francisco, CA  94133",37.79711,-122.40416,POINT (-122.40416 37.79711),San Francisco
79,6369,Galileo High School,public,1890.0,8.0,5.0,San Francisco Unified School District,"1150 Francisco Street, 
San Francisco, CA  94109",37.803402,-122.42408,POINT (-122.42408 37.803402),San Francisco
80,6370,Garfield Elementary School,public,223.0,8.0,4.0,San Francisco Unified School District,"420 Filbert Street, 
San Francisco, CA  94133",37.80177,-122.40673,POINT (-122.40673 37.80177),San Francisco
81,6371,Gateway High School,charter,489.0,7.0,4.0,San Francisco Unified School District,"1430 Scott Street, 
San Francisco, CA  94115",37.783222,-122.43702,POINT (-122.43702 37.783222),San Francisco
82,25633,Gateway Middle School,charter,313.0,6.0,5.0,San Francisco Unified School District,"1512 Golden Gate Avenue, 
San Francisco, CA  94115",37.779438,-122.436,POINT (-122.436 37.779438),San Francisco
83,31679,Gavin Academy,private,20.0,5.396694214876033,4.183673469387755,,"100 Pine St Suite 1250, 
San Francisco, CA  94111",37.792534,-122.398895,POINT (-122.398895 37.792534),San Francisco
84,25492,German International School of Silicon Valley - San Francisco Campus,private,88.0,5.396694214876033,5.0,,"4 Funston Avenue (Bldg 4, 5 & 8), 
San Francisco, CA  94129",37.800022,-122.455536,POINT (-122.455536 37.800022),San Francisco
85,6372,Giannini (A.P.) Middle School,public,1214.0,9.0,4.0,San Francisco Unified School District,"3151 Ortega Street, 
San Francisco, CA  94122",37.751427,-122.49702,POINT (-122.49702 37.751427),San Francisco
86,6373,Glen Park Elementary School,public,344.0,4.0,4.0,San Francisco Unified School District,"151 Lippard Avenue, 
San Francisco, CA  94131",37.73311,-122.43608,POINT (-122.43608 37.73311),San Francisco
87,31533,Golden Bridges School,private,90.0,5.396694214876033,4.183673469387755,,"65 Ocean Avenue, 
San Francisco, CA  94112",37.723125,-122.438095,POINT (-122.438095 37.723125),San Francisco
88,6375,Grattan Elementary School,public,395.0,8.0,5.0,San Francisco Unified School District,"165 Grattan Street, 
San Francisco, CA  94117",37.76386,-122.45052,POINT (-122.45052 37.76386),San Francisco
89,6376,Guadalupe Elementary School,public,451.0,3.0,4.0,San Francisco Unified School District,"859 Prague Street, 
San Francisco, CA  94112",37.710438,-122.43441,POINT (-122.43441 37.710438),San Francisco
90,8688,"Hamlin, The",private,410.0,5.396694214876033,5.0,,"2120 Broadway Street, 
San Francisco, CA  94115",37.79489,-122.43243,POINT (-122.43243 37.79489),San Francisco
91,6377,Harte (Bret) Elementary School,public,178.0,1.0,3.0,San Francisco Unified School District,"1035 Gilman Avenue, 
San Francisco, CA  94124",37.71861,-122.38889,POINT (-122.38889 37.71861),San Francisco
92,8774,Hergl,private,8.0,5.396694214876033,4.183673469387755,,"1570 Greenwich Street, 
San Francisco, CA  94123",37.80037,-122.42577,POINT (-122.42577 37.80037),San Francisco
93,6379,Hillcrest Elementary School,public,462.0,4.0,4.0,San Francisco Unified School District,"810 Silver Avenue, 
San Francisco, CA  94134",37.729027,-122.41924,POINT (-122.41924 37.729027),San Francisco
96,8936,Hillwood Academic Day School,private,379.1877551020408,5.396694214876033,4.0,,"2521 Scott Street, 
San Francisco, CA  94115",37.793324,-122.44012,POINT (-122.44012 37.793324),San Francisco
97,8099,Holy Name Elementary School,private,375.0,5.396694214876033,4.0,,"1560 40th Avenue, 
San Francisco, CA  94122",37.757755,-122.49905,POINT (-122.49905 37.757755),San Francisco
98,6378,Hoover (Herbert) Middle School,public,977.0,6.0,4.0,San Francisco Unified School District,"2290 14th Avenue, 
San Francisco, CA  94116",37.74535,-122.47031,POINT (-122.47031 37.74535),San Francisco
99,8100,Immaculate Conception Academy,private,324.0,5.396694214876033,4.0,,"3625 24th Street, 
San Francisco, CA  94110",37.751858,-122.42352,POINT (-122.42352 37.751858),San Francisco
100,11136,Independence High School,public,201.0,3.0,5.0,San Francisco Unified School District,"1350 7th Avenue, 
San Francisco, CA  94122",37.763245,-122.46382,POINT (-122.46382 37.763245),San Francisco
101,6384,Jefferson Elementary School,public,511.0,8.0,5.0,San Francisco Unified School District,"1725 Irving Street, 
San Francisco, CA  94122",37.763554,-122.47635,POINT (-122.47635 37.763554),San Francisco
102,24308,Jewish Community High School Of The Bay,private,157.0,5.396694214876033,5.0,,"1835 Ellis Street, 
San Francisco, CA  94115",37.781666,-122.43645,POINT (-122.43645 37.781666),San Francisco
103,12283,Jordan (June) School For Equity,public,258.0,2.0,4.0,San Francisco Unified School District,"325 La Grande Avenue, 
San Francisco, CA  94112",37.719997,-122.4255,POINT (-122.4255 37.719997),San Francisco
104,10089,Joshua Marie Cameron Academy,private,379.1877551020408,5.396694214876033,4.183673469387755,,"3801 3rd Street, 
San Francisco, CA  94124",37.741543,-122.38726,POINT (-122.38726 37.741543),San Francisco
105,12638,KIPP Bayview Academy,charter,288.0,5.0,4.0,San Francisco Unified School District,"1060 Key Avenue, 
San Francisco, CA  94124",37.71903,-122.39611,POINT (-122.39611 37.71903),San Francisco
106,12639,KIPP San Francisco Bay Academy,charter,374.0,6.0,5.0,San Francisco Unified School District,"1430 Scott Street, 
San Francisco, CA  94115",37.78313,-122.43773,POINT (-122.43773 37.78313),San Francisco
107,27281,KIPP San Francisco College Preparatory,charter,312.0,7.0,4.183673469387755,San Francisco Unified School District,"1195 Hudson Avenue, 
San Francisco, CA  94124",37.732376,-122.38235,POINT (-122.38235 37.732376),San Francisco
108,8684,Katherine Delmar Burke School,private,400.0,5.396694214876033,4.0,,"7070 California Street, 
San Francisco, CA  94121",37.783684,-122.49302,POINT (-122.49302 37.783684),San Francisco
109,11542,Katherine Michiels School,private,84.0,5.396694214876033,4.0,,"1335 Guerrero Street, 
San Francisco, CA  94110",37.74984,-122.4224,POINT (-122.4224 37.74984),San Francisco
110,6385,Key (Francis Scott) Elementary School,public,531.0,9.0,5.0,San Francisco Unified School District,"1530 43rd Avenue, 
San Francisco, CA  94122",37.758156,-122.50249,POINT (-122.50249 37.758156),San Francisco
111,6435,King (Starr) Elementary School,public,335.0,5.0,4.0,San Francisco Unified School District,"1215 Carolina Street, 
San Francisco, CA  94107",37.752766,-122.39935,POINT (-122.39935 37.752766),San Francisco
112,6386,King Jr. (Martin Luther) Academic Middle School,public,509.0,4.0,3.0,San Francisco Unified School District,"350 Girard Street, 
San Francisco, CA  94134",37.727947,-122.40491,POINT (-122.40491 37.727947),San Francisco
113,8793,"Kittredge, Inc.",private,86.0,5.396694214876033,5.0,,"2355 Lake Street, 
San Francisco, CA  94121",37.785507,-122.484955,POINT (-122.484955 37.785507),San Francisco
114,26291,Krouzian Zekarian Armenian School,private,379.1877551020408,5.396694214876033,4.183673469387755,,"825 Brotherhood Way, 
San Francisco, CA  94132",37.713943,-122.47831,POINT (-122.47831 37.713943),San Francisco
115,9437,Kzv Armenian School,private,138.0,5.396694214876033,4.0,,"825 Brotherhood Way, 
San Francisco, CA  94132",37.713943,-122.47831,POINT (-122.47831 37.713943),San Francisco
116,25534,La Scuola International School ,private,250.0,5.396694214876033,5.0,,"Preschool Campus: 728 20th St;   K-8 Campus 735 Fell Street, 
San Francisco, CA  94107",37.760647,-122.38921,POINT (-122.38921 37.760647),San Francisco
117,6387,Lafayette Elementary School,public,543.0,9.0,5.0,San Francisco Unified School District,"4545 Anza Street, 
San Francisco, CA  94121",37.777607,-122.49688,POINT (-122.49688 37.777607),San Francisco
118,6388,Lakeshore Alternative Elementary School,public,487.0,4.0,5.0,San Francisco Unified School District,"220 Middlefield Drive, 
San Francisco, CA  94132",37.730602,-122.48615,POINT (-122.48615 37.730602),San Francisco
119,6389,Lau (Gordon J.) Elementary School,public,664.0,7.0,5.0,San Francisco Unified School District,"950 Clay Street, 
San Francisco, CA  94108",37.79398,-122.40868,POINT (-122.40868 37.79398),San Francisco
120,6390,Lawton Alternative Elementary School,public,601.0,10.0,4.0,San Francisco Unified School District,"1570 31st Avenue, 
San Francisco, CA  94122",37.757954,-122.48958,POINT (-122.48958 37.757954),San Francisco
121,6391,Leadership High School,charter,261.0,2.0,4.0,San Francisco Unified School District,"350 Seneca Avenue, 
San Francisco, CA  94112",37.721527,-122.44557,POINT (-122.44557 37.721527),San Francisco
122,6392,Lick (James) Middle School,public,599.0,2.0,4.0,San Francisco Unified School District,"1220 Noe Street, 
San Francisco, CA  94114",37.749542,-122.43175,POINT (-122.43175 37.749542),San Francisco
123,8690,Lick-Wilmerding High School,private,490.0,5.396694214876033,4.0,,"755 Ocean Avenue, 
San Francisco, CA  94112",37.72235,-122.44892,POINT (-122.44892 37.72235),San Francisco
124,6393,Life Learning Academy Charter,charter,22.0,5.396694214876033,4.0,San Francisco Unified School District,"651 Eighth Street, Building 229 Treasure Island, 
San Francisco, CA  94130",37.77091,-122.40479,POINT (-122.40479 37.77091),San Francisco
125,6394,Lilienthal (Claire) Elementary School,public,678.0,10.0,4.0,San Francisco Unified School District,"3630 Divisadero Street, 
San Francisco, CA  94123",37.803192,-122.4435,POINT (-122.4435 37.803192),San Francisco
126,6395,Lincoln (Abraham) High School,public,2046.0,8.0,5.0,San Francisco Unified School District,"2162 24th Avenue, 
San Francisco, CA  94116",37.747257,-122.48132,POINT (-122.48132 37.747257),San Francisco
127,10622,Lisa Kampner Hebrew Academy,private,37.0,5.396694214876033,3.0,,"645 14th Avenue, 
San Francisco, CA  94118",37.776123,-122.47286,POINT (-122.47286 37.776123),San Francisco
128,8489,Live Oak School,private,400.0,5.396694214876033,5.0,,"1555 Mariposa Street, 
San Francisco, CA  94107",37.76354,-122.39906,POINT (-122.39906 37.76354),San Francisco
129,11441,Living Hope Christian,private,379.1877551020408,5.396694214876033,5.0,,"1209 Geneva Avenue, 
San Francisco, CA  94112",37.7142,-122.436,POINT (-122.436 37.7142),San Francisco
130,6396,Longfellow Elementary School,public,570.0,4.0,4.0,San Francisco Unified School District,"755 Morse Street, 
San Francisco, CA  94112",37.71046,-122.44769,POINT (-122.44769 37.71046),San Francisco
132,6397,Lowell High School,public,2685.0,10.0,4.0,San Francisco Unified School District,"1101 Eucalyptus Drive, 
San Francisco, CA  94132",37.731045,-122.48355,POINT (-122.48355 37.731045),San Francisco
133,6398,Malcolm X Academy,public,85.0,3.0,5.0,San Francisco Unified School District,"350 Harbor Road, 
San Francisco, CA  94124",37.733734,-122.38061,POINT (-122.38061 37.733734),San Francisco
134,8809,Maria Montessori School,private,379.1877551020408,5.396694214876033,5.0,,"678 Portola Dr, 
San Francisco, CA  94127",37.74501,-122.45343,POINT (-122.45343 37.74501),San Francisco
135,25528,Marin Preparatory School,private,145.0,5.396694214876033,5.0,,"117 Diamond Street, 
San Francisco, CA  94114",37.76022,-122.4369,POINT (-122.4369 37.76022),San Francisco
136,6400,Marina Middle School,public,779.0,7.0,4.0,San Francisco Unified School District,"3500 Fillmore Street, 
San Francisco, CA  94123",37.80167,-122.43636,POINT (-122.43636 37.80167),San Francisco
137,6404,Marshall (Thurgood) High School,public,638.0,2.0,4.0,San Francisco Unified School District,"45 Conkling Street, 
San Francisco, CA  94124",37.735718,-122.40188,POINT (-122.40188 37.735718),San Francisco
138,6403,Marshall Elementary School,public,251.0,3.0,4.0,San Francisco Unified School District,"1575 15th Street, 
San Francisco, CA  94103",37.766678,-122.41909,POINT (-122.41909 37.766678),San Francisco
141,6407,McKinley Elementary School,public,384.0,7.0,5.0,San Francisco Unified School District,"1025 14th Street, 
San Francisco, CA  94114",37.767227,-122.43659,POINT (-122.43659 37.767227),San Francisco
142,6406,Mccoppin (Frank) Elementary School,public,218.0,7.0,4.0,San Francisco Unified School District,"651 Sixth Avenue, 
San Francisco, CA  94118",37.776283,-122.46401,POINT (-122.46401 37.776283),San Francisco
143,9764,Meadows-Livingstone School,private,19.0,5.396694214876033,5.0,,"1499 Potrero Avenue, 
San Francisco, CA  94110",37.749603,-122.40506,POINT (-122.40506 37.749603),San Francisco
144,8103,Mercy High School,private,395.0,5.396694214876033,4.0,,"3250 19th Avenue, 
San Francisco, CA  94132",37.729416,-122.47387,POINT (-122.47387 37.729416),San Francisco
145,6408,Milk (Harvey) Civil Rights Elementary School,public,238.0,2.0,4.0,San Francisco Unified School District,"4235 19th Street, 
San Francisco, CA  94114",37.759148,-122.43634,POINT (-122.43634 37.759148),San Francisco
147,6409,Miraloma Elementary School,public,390.0,8.0,5.0,San Francisco Unified School District,"175 Omar Way, 
San Francisco, CA  94127",37.739307,-122.45021,POINT (-122.45021 37.739307),San Francisco
148,8104,Mission Dolores Academy,private,258.0,5.396694214876033,4.0,,"3371 16th Street, 
San Francisco, CA  94114",37.7642,-122.42843,POINT (-122.42843 37.7642),San Francisco
149,6410,Mission Education Center,public,131.0,1.0,5.0,San Francisco Unified School District,"1670 Noe Street, 
San Francisco, CA  94131",37.742283,-122.43106,POINT (-122.43106 37.742283),San Francisco
150,6411,Mission High School,public,1058.0,1.0,4.0,San Francisco Unified School District,"3750 18th Street, 
San Francisco, CA  94114",37.761402,-122.42728,POINT (-122.42728 37.761402),San Francisco
151,25813,Mission Preparatory School,charter,426.0,10.0,5.0,San Francisco Unified School District,"1050 York Street, 
San Francisco, CA  94110",37.75544,-122.40857,POINT (-122.40857 37.75544),San Francisco
152,6412,Monroe Elementary School,public,511.0,5.0,4.0,San Francisco Unified School District,"260 Madrid Street, 
San Francisco, CA  94112",37.725224,-122.43012,POINT (-122.43012 37.725224),San Francisco
153,12920,Montessori House of Children School,private,110.0,5.396694214876033,4.0,,"1187 Franklin Street, 
San Francisco, CA  94109",37.78529,-122.42329,POINT (-122.42329 37.78529),San Francisco
154,6413,Moscone (George R.) Elementary School,public,370.0,5.0,4.0,San Francisco Unified School District,"2576 Harrison Street, 
San Francisco, CA  94110",37.75624,-122.4123,POINT (-122.4123 37.75624),San Francisco
155,31537,Mt. Vernon Christian Academy,private,379.1877551020408,5.396694214876033,4.183673469387755,,"59 Caine Avenue, 
San Francisco, CA  94112",37.71714,-122.450356,POINT (-122.450356 37.71714),San Francisco
156,17359,Muhammad University of Islam,private,379.1877551020408,5.396694214876033,5.0,,"5048 Third Street, 
San Francisco, CA  94124",37.732788,-122.39178,POINT (-122.39178 37.732788),San Francisco
157,6414,Muir (John) Elementary School,public,265.0,4.0,4.0,San Francisco Unified School District,"380 Webster Street, 
San Francisco, CA  94117",37.77369,-122.42909,POINT (-122.42909 37.77369),San Francisco
158,31695,My City School,private,9.0,5.396694214876033,5.0,,"855 27th ave, San Francisco, CA 94121, 
San Francisco, CA  94114",37.764324,-122.43841,POINT (-122.43841 37.764324),San Francisco
159,6415,New Traditions Elementary School,public,260.0,9.0,4.0,San Francisco Unified School District,"2049 Grove Street, 
San Francisco, CA  94117",37.77431,-122.45032,POINT (-122.45032 37.77431),San Francisco
160,6417,O'connell (John) High School,public,319.0,2.0,4.0,San Francisco Unified School District,"2355 Folsom Street, 
San Francisco, CA  94110",37.759632,-122.41468,POINT (-122.41468 37.759632),San Francisco
161,8470,Oakes Children's Center,private,18.0,5.396694214876033,5.0,,"1550 Treat Avenue, 
San Francisco, CA  94110",37.74593,-122.41268,POINT (-122.41268 37.74593),San Francisco
162,26292,Oaks Christian Academy,private,379.1877551020408,5.396694214876033,4.183673469387755,,"135 Evelyn Way, 
San Francisco, CA  94127",37.743107,-122.45257,POINT (-122.45257 37.743107),San Francisco
163,13053,Olympia Institute,private,379.1877551020408,5.396694214876033,3.0,,"950 Clement Street, 
San Francisco, CA  94118",37.782726,-122.469505,POINT (-122.469505 37.782726),San Francisco
164,26293,One Fifty Parker Avenue School,private,379.1877551020408,5.396694214876033,4.183673469387755,,"150 Parker Avenue, 
San Francisco, CA  94118",37.782818,-122.4541,POINT (-122.4541 37.782818),San Francisco
165,32188,One Purpose,charter,72.0,1.0,4.183673469387755,Sbe - Onepurpose School District,"948 Hollister Avenue, 
San Francisco, CA  94124",37.71833,-122.38988,POINT (-122.38988 37.71833),San Francisco
166,6418,Ortega (Jose) Elementary School,public,393.0,7.0,5.0,San Francisco Unified School District,"400 Sargent Street, 
San Francisco, CA  94132",37.716167,-122.46625,POINT (-122.46625 37.716167),San Francisco
167,8105,Our Lady Of The Visitacion Elementary School,private,258.0,5.396694214876033,4.0,,"785 Sunnydale Avenue, 
San Francisco, CA  94134",37.7094,-122.40916,POINT (-122.40916 37.7094),San Francisco
168,6419,Parker (Jean) Elementary School,public,267.0,6.0,4.0,San Francisco Unified School District,"840 Broadway Street, 
San Francisco, CA  94133",37.79732,-122.4111,POINT (-122.4111 37.79732),San Francisco
169,6420,Parks (Rosa) Elementary School,public,461.0,4.0,5.0,San Francisco Unified School District,"1501 O'farrell Street, 
San Francisco, CA  94115",37.78368,-122.42945,POINT (-122.42945 37.78368),San Francisco
171,6421,Peabody (George) Elementary School,public,276.0,9.0,5.0,San Francisco Unified School District,"251 Sixth Avenue, 
San Francisco, CA  94118",37.783947,-122.46456,POINT (-122.46456 37.783947),San Francisco
173,8857,Presidio Hill School,private,220.0,5.396694214876033,4.0,,"3839 Washington St, 
San Francisco, CA  94118",37.788845,-122.45624,POINT (-122.45624 37.788845),San Francisco
174,25505,Presidio Knolls School,private,380.0,5.396694214876033,5.0,,"250 10th Street, 
San Francisco, CA  94103",37.772945,-122.41362,POINT (-122.41362 37.772945),San Francisco
175,6423,Presidio Middle School,public,1100.0,8.0,4.0,San Francisco Unified School District,"450 30th Avenue, 
San Francisco, CA  94121",37.78083,-122.4901,POINT (-122.4901 37.78083),San Francisco
176,6424,Redding Elementary School,public,255.0,6.0,4.0,San Francisco Unified School District,"1421 Pine Street, 
San Francisco, CA  94109",37.789726,-122.41921,POINT (-122.41921 37.789726),San Francisco
177,6425,Revere (Paul) Elementary School,public,462.0,1.0,4.0,San Francisco Unified School District,"555 Tompkins Avenue, 
San Francisco, CA  94110",37.73714,-122.41317,POINT (-122.41317 37.73714),San Francisco
178,9866,Rise Institute,private,34.0,5.396694214876033,4.183673469387755,,"1760 Cesar Chavez Street, Suites Rs, 
San Francisco, CA  94124",37.750465,-122.39495,POINT (-122.39495 37.750465),San Francisco
180,6426,Rooftop Elementary School,public,586.0,6.0,4.0,San Francisco Unified School District,"443 Burnett Avenue, 
San Francisco, CA  94131",37.754417,-122.44388,POINT (-122.44388 37.754417),San Francisco
